gene,log fold change,p-value,adjusted p-value,cluster
EIF4B,-0.72495174,1.4692065172334822e-44,5.596541035097617e-43,Fib1
MT1X,-1.0307828,8.714323719421875e-45,3.34450489482837e-43,Fib1
CEBPD,-0.8707434,9.888627255706592e-47,3.873045675151749e-45,Fib1
MXRA5,-0.7298993,4.979456807750303e-47,1.9603402767625227e-45,Fib1
CALD1,-0.45729104,3.4521988456861697e-47,1.3696711004637984e-45,Fib1
ST13,-0.6320223,9.57183026513106e-48,3.837525125981022e-46,Fib1
COLEC12,-1.0851551,3.612436590803873e-48,1.4559358555284739e-46,Fib1
LDHB,-0.7519885,1.4680923795915348e-49,5.980029626202852e-48,Fib1
RGS16,-2.674094,1.2692333934623105e-50,5.254075903831109e-49,Fib1
LGALS3BP,-0.80764604,6.89008237608829e-52,2.875573997124279e-50,Fib1
CYGB,-1.9350345,3.509757608622329e-54,1.5101844358227063e-52,Fib1
DKK3,-1.0580107,2.3440161275271402e-54,1.0114363375134765e-52,Fib1
ITM2C,-2.0730186,3.29207646975103e-55,1.4326629081323925e-53,Fib1
TMEM59,-0.987989,1.3622454413862313e-55,5.99662798765841e-54,Fib1
HMGN2,-1.1063129,1.2844527769642986e-55,5.670524904083717e-54,Fib1
MT-CO1,-0.21529233,2.348543027824295e-56,1.0398259347830756e-54,Fib1
TOMM7,-0.5080044,2.3247003798158993e-56,1.0322615785374378e-54,Fib1
IFITM3,-0.2969743,1.8159338877492957e-56,8.086994208562826e-55,Fib1
FMOD,-0.83521575,1.388961873300589e-56,6.203623571539912e-55,Fib1
SPRY1,-0.78902024,7.778091029629739e-57,3.484174207554084e-55,Fib1
SELENOP,-0.4606337,7.167892295846133e-57,3.2297803781430582e-55,Fib1
GEM,-1.8125201,3.5568736230625535e-57,1.6170013271512056e-55,Fib1
SNAI2,-1.5644783,1.419981967579978e-57,6.4940792080192105e-56,Fib1
TNN,-5.3874044,4.1946161668604444e-58,1.9357329893895254e-56,Fib1
CTSC,-2.1895308,2.7917309964906262e-58,1.2961608197992194e-56,Fib1
EIF3E,-0.6378472,7.078021604808165e-59,3.2962432930928264e-57,Fib1
RAB13,-1.009786,7.013290093462556e-59,3.276085815829986e-57,Fib1
BTG1,-0.8989494,3.6717381753032798e-59,1.7310432292517775e-57,Fib1
UQCRB,-0.6237646,1.2449295645501269e-59,5.9056829498457104e-58,Fib1
A2M,-2.8020601,1.3804802498858763e-60,6.651998680443773e-59,Fib1
CHCHD10,-1.426284,2.535977021952763e-61,1.237605399691005e-59,Fib1
EIF4A2,-0.91367584,4.228651878919118e-62,2.0769343231668657e-60,Fib1
ARID5B,-0.9519306,1.9697362478867681e-63,9.73712659756323e-62,Fib1
FOSB,-2.0719833,3.921105729927619e-65,1.9509736164379278e-63,Fib1
RPL17,-1.060325,8.822151298171417e-67,4.432840824985803e-65,Fib1
ID3,-1.1217301,5.112404137392273e-67,2.577292844840494e-65,Fib1
GGT5,-2.5163636,3.4304890989596e-67,1.7351232114770825e-65,Fib1
MALAT1,-1.0401844,2.3859012281816184e-67,1.2107854239360205e-65,Fib1
RPS26,-1.44989,1.0797742541210264e-68,5.53474890325459e-67,Fib1
IER3,-1.5743153,8.45091068807026e-69,4.346385884184284e-67,Fib1
H3F3A,-1.3369168,1.479383197039105e-70,7.686251134276302e-69,Fib1
EDNRA,-4.071132,6.08541762845593e-71,3.194321452737606e-69,Fib1
SFRP1,-1.5499429,3.5111896481493577e-71,1.8494283405338426e-69,Fib1
UBA52,-0.4039069,3.563076235236833e-73,1.9231798407506228e-71,Fib1
DUSP1,-1.1647987,5.437491036478647e-74,2.945307644759267e-72,Fib1
CXCL12,-0.46824977,2.5436185649351885e-75,1.3926083720209678e-73,Fib1
PPP1R15A,-1.4835874,1.2605666184605006e-75,6.926314783087823e-74,Fib1
RPS21,-0.46783566,1.114203578326266e-75,6.144209263152965e-74,Fib1
MAFB,-1.3302057,1.6274351624609694e-76,9.006910183547575e-75,Fib1
C12orf57,-0.6373192,1.0811168701308832e-76,6.005112796817905e-75,Fib1
HSPA1B,-1.7348968,1.6169693781505345e-78,9.147854537499784e-77,Fib1
CDH11,-1.7690547,3.751543783844295e-80,2.162446464083834e-78,Fib1
RPL39,-1.768231,7.991319994873998e-82,4.6769123724789396e-80,Fib1
RPL36A,-1.2827705,2.454540684896217e-84,1.458875835089094e-82,Fib1
C7,-3.8230824,1.7390364712474678e-84,1.0376477382150419e-82,Fib1
BTF3,-0.5213156,1.184957830250376e-85,7.09812974787235e-84,Fib1
JUN,-1.5059302,6.080788188145366e-88,3.656851951729152e-86,Fib1
CCL2,-2.4934938,3.95488829474523e-88,2.3877833479143632e-86,Fib1
