"","gene","log.fold.change","p.value","adjusted.p.value","cluster","adjusted.p.value_minus_log10"
"353","CLIP1",1.4794818,1.20148127726825e-76,3.3674544055546e-75,"Fib1",74.472698275798
"354","CD47",1.0252051,1.51168830307643e-76,4.22912799074953e-75,"Fib1",74.3737491711229
"355","OLFML1",1.0312752,2.14001881038276e-76,5.97601230870139e-75,"Fib1",74.223588516682
"356","LOXL4",2.7318676,5.06137034912149e-76,1.40058753773244e-74,"Fib1",73.8536897422734
"357","TSC22D3",0.91446334,2.5292942215778e-76,7.02453986083654e-75,"Fib1",74.153382118746
"358","MT-ND2",0.3881245,7.19627776934208e-76,1.98776026992225e-74,"Fib1",73.7016359940473
"359","SEMA3E",4.4848304,3.08724895481392e-75,8.48160571668751e-74,"Fib1",73.0715219203987
"360","ANGPTL2",0.87221843,3.41035495432335e-75,9.35245456504295e-74,"Fib1",73.0290743929612
"361","USP53",1.8911997,1.044887960575e-74,2.85011849960414e-73,"Fib1",72.5451370829198
"362","OSR1",2.7662756,1.51399172953144e-74,4.12232150955306e-73,"Fib1",72.3848581395875
"363","DOCK11",2.3448944,7.79945870468878e-74,2.10488925289967e-72,"Fib1",71.6767707492914
"364","ADGRA2",1.2707845,6.30199036540862e-74,1.70678905729817e-72,"Fib1",71.7678201501871
